Index,Korean,English,Japanese
0,입니다.,Tutorial,です.
1,"과 루비들","and Rubies","とルビー達"
2,그냥 합성수,just a composite number,ただの合成数
3,3종류의 숫자들,3 numbers,3種類の数字
4,대기방,waiting room,待機室
5,불편한 숫자,uncomfortable number,不便な数字
6,단 하나의 보석,that can't be stopped,たった一つの宝石
7,75점,of 100,75点
8,대기하는 CPU들,with 10,CPUのスタンバイ
9,3색3종,"3 colors 3 types",3色3種
10,주사위,with only 1 and 6,サイコロ
11,스피드 대전,Speed Match,スピード対戦
12,꿈을 꾸었습니다.,all the sapphires.,夢を見ました.
13,5를 좋아한다.,loves 5.,5が好き.
14,...뭐요?,...what?,...え?
15,음수의 보석.,negative gem.,負数の宝石
16,그리고 홀수,And odd,そして奇数
17,10의 저주,and curse of the 10,10の呪い
18,풀하우스,full-house,フルハウス
19,10 베리어,10 barrier,10バリア
20,와 계단,and stairs,と階段
21,"타로 보석에 마우스를 올리면 정보가 나옵니다.","Hover over a tarot gem to get its information.","タロット宝石にカーソルを合わせると情報が出てきます."
22,"나의 턴은 끝나지 않아.","My turn is not over.","僕のターンは終わらない."
23,수치 변화,number shifts,数値変化
24,이겨야 하는 나,me to win,勝たないといけない自分
25,"사파이어 주사위(사기꾼)","sapphire dice(scammer)","サファイアサイコロ(詐欺師)"
26,"좋은 일이 일어난다는 소문이","when it's on the leftmost","良いことが起こるという噂が"
27,저격 너프,Sniping Nerf,狙撃ナフ
28,"한 줄에 두기","on the same line","一列に並べる"
29,스테이지,stage,ステージ
30,주사위,with only 2 and 5,サイコロ
31,타로 보석들,"Jealous of Each Other",タロット宝石
32,전장,The battlefield,戦場
33,압박감,to let go of Ruby,プレッシャー
34,위 아래,up and down,上下
35,주사위,with only 3 and 4,サイコロ
36,5가 아닌,but not 5,5ではない
37,악마들,Called CPU,悪魔たち
38,혼자 있고 싶다.,to be left alone.,一人でいたい.
39,X를 당담,X in charge,Xを担当
40,2턴의 남은 턴,2 turns remaining,2ターンの残りターン数
41,"특수 보석은 종류에 상관없이 사용 구역에 놓을 수 있습니다.","Unique gem can be placed in any type of use zone","特殊宝石は種類に関係なく,使用ゾーンに置くことができます"
42,"무리한 부탁","asks too much","無理なお願い"
43,"바보","Fool","馬鹿"
44,"쉬어가는 스테이지","resting stage","休んでいくステージ"
45,"였던 것","Topaz Dice","だったもの"
46,"부서지지 않았으면...","not be broken...","壊れなければ..."
47,"3명의 연인들","and the Three Lovers","3人の恋人たち"
48,"해드렸습니다.","unbreakable.","させていただきました."
49,"여기에 있었습니다.","was in here.","ここにありました."
50,"주사위","Dice","サイコロ"
51,"복사하기","to copy","コピーする"
52,"정답일까?","the right answer?","正解なのか?"
53,"사기꾼","are back","詐欺師"
54,"처음부터 존재했다.","since the beginning, in a way.","最初から存在していた."
55,"주사위","Dice","サイコロ"
56,"당신을 기다리고 있나요?","of good fortune waiting for you?","あなたを待っていますか?"
57,"조율된 순간이 느껴지시나요?","like the color of Alexandrite?","調律された瞬間を感じますか?"
58,"오팔 같은 기회가 숨어 있나요?","in the path of choice?","オパールのようなチャンスが隠れていますか?"
59,"토파즈 같은 빛이 깃들어 있나요?","in your honest heart?","トパーズのような光が宿っていますか?"
60,"이제 끝을 맺을 시간입니다.","turquoise relationship.","そろそろ終わりを告げる時です."
61,"다른 작품으로 다시 볼 수 있기를 바라며... [KathGaan]","Hope to see you again with another installment... [KathGaan]","また他の作品でお会いできることを願って... [KathGaan]"
