Index,Korean,English,Japanese
0,튜토리얼,The,チュートリアル
1,루비 10,Ruby 10,ルビー 10
2,1314번째 소수와,1314th prime and,1314番目の素数と
3,3종류의 보석과,3 gems and,3種類の宝石と
4,3색 스트레이트,3 color straight,3色ストレート
5,같은 숫자들 모음과,"The same set of numbers and",同じ数字の集まりと
6,막을 수 없는,The one gem,止められない
7,100점 만점에,75 out,100点満点中
8,10을 가지고,CPU's waiting,10を持っている
9,우리 모두,We're,みんなで
10,1과 6밖에 없는,Dice,1と6しか出ない
11,5 대 3,5 vs 3,5 対 3
12,모든 사파이어를 모으는,I dreamed of collecting,すべてのサファイアを集める
13,아쿠아마린은,Aquamarine,アクアマリンは
14,AI가 당신에게,AI tells you to,AIがあなたに
15,뒤집어진 10과,Flipped 10 and,逆さまになった10と
16,홀수와 짝수,Odd and even,奇数と偶数
17,놓고 싶은 루비와,Rubies you want to place,置きたいルビーと
18,2와 5,2 and 5,2と5
19,60과,60 and,60と
20,3색 주사위,Three-color dice,3色サイコロ
21,"여기서 부터 타로 보석이 추가됩니다.","From here, tarot gem is added.","ここからタロット宝石が追加されます."
22,CPU : ,CPU : ,CPU : 
23,크고 작은,Large and small,大小の
24,사기꾼 2명과,Two scammers and,詐欺師2人と
25,루비 주사위 대,Ruby dice vs,ルビーサイコロ対
26,가장 왼쪽에 있으면,"Rumor has it that good things happen",左端にいると
27,특정 타로 카드,Specific Tarot Card,特定のタロットカード
28,"두 가지의 제한을","Putting two limits","2つの制限を"
29,매우 평범한,Very ordinary,非常に平凡な
30,2와 5밖에 없는,Dice,2と5しか出ない
31,서로 질투하는,Tarot Gems,互いに嫉妬する
32,"루비가 살아남지 못하는","Ruby doesn't survive","ルビーが生き残れない"
33,"루비를 놓아야 할",Pressure,ルビーを置くことへの
34,타로 보석들과,Tarot gems and,タロット宝石たちと
35,3과 4밖에 없는,Dice,3と4しか出ない
36,5인데,5,5なのに
37,CPU라는,The Demons,CPUという
38,CPU2는,CPU2 wants,CPU2は
39,3 X 9에서,3 X 9 to,3 X 9から
40,사파이어 주사위와,Sapphire dice and,サファイアサイコロと
41,"여기서 부터 특수 보석이 추가됩니다.","From here, unique gem is added.","ここから特殊宝石が追加されます."
42,"토파즈의","Topaz","トパーズの"
43,"부활한","Resurrected","復活した"
44,"높은 확률로","High probability","高確率で"
45,"토파즈 주사위","What was the","トパーズ サイコロ"
46,"차라리","I'd rather","むしろ"
47,"알렉산드라이트와","Alexandrite and","アレクサンドライトと"
48,"부서지지 않게","We've made it","壊れないように"
49,"12라는 숫자는","The number 12","12という数字は"
50,"상반기","First half","上半期"
51,"선택하여","Select","選択して"
52,"막는 것이","Is blocking","止めるのが"
53,"다시 돌아온","The scammers","再び戻ってきた"
54,"이 기능은 어떻게 보면","This feature has been around","この機能は,ある意味"
55,"하반기","Second half","下半期"
56,"에메랄드처럼 빛나는 행운이","Do you have an emerald streak","エメラルドのように輝く幸運が"
57,"알렉산드라이트의 색처럼","Do you feel the moment of alignment","アレクサンドライトの色のように"
58,"선택의 길에","Are there opalescent opportunities lurking","選択の道に"
59,"정직한 마음에","Do you have a topaz like glow","素直な心に"
60,"터키석 같은 인연도","It's time to end this","ターコイズのような縁も"
61,"끝까지 플레이 해 주셔서 감사합니다!","Thank you for playing to the end!","最後までプレイしていただきありがとうございました!"
